Simulation of solar system over 100 years, with 1316134912 iterations, using perihelion´s method.
Time 	sun	 	mercury	 	
angle: 9.55684193	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.42473597e-05 , 0
angle: 9.61236175	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.43301288e-05 , 0
angle: 9.66787729	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.44128915e-05 , 0
angle: 9.72338885	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.44956482e-05 , 0
angle: 9.77889705	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.45784e-05 , 0
angle: 9.83440108	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.46611455e-05 , 0
angle: 9.88990072	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.47438845e-05 , 0
angle: 10.579412	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.57718094e-05 , 0
angle: 10.6349029	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.58545352e-05 , 0
angle: 10.6903887	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.59372536e-05 , 0
angle: 10.7458698	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.60199649e-05 , 0
angle: 10.801347	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.61026705e-05 , 0
angle: 10.8568192	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.61853685e-05 , 0
angle: 10.9122859	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.62680584e-05 , 0
angle: 10.9677479	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.63507412e-05 , 0
angle: 11.0232054	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.64334174e-05 , 0
angle: 11.0786582	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.65160866e-05 , 0
angle: 11.1341054	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.65987474e-05 , 0
angle: 11.1895478	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.6681401e-05 , 0
angle: 11.2449858	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.67640481e-05 , 0
angle: 11.9344353	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.77918809e-05 , 0
angle: 11.9898643	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.78745145e-05 , 0
angle: 12.0452887	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.79571414e-05 , 0
angle: 12.1007085	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.80397613e-05 , 0
angle: 12.1561235	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.8122374e-05 , 0
angle: 12.2115342	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.82049805e-05 , 0
angle: 12.2669414	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.82875816e-05 , 0
angle: 12.3223437	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.83701755e-05 , 0
angle: 12.3777409	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.84527617e-05 , 0
angle: 12.4331337	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.85353415e-05 , 0
angle: 12.4885223	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.86179149e-05 , 0
angle: 12.5439064	 distance: 0.3075	 Position(x,y,z): 0.3075 , 1.87004817e-05 , 0
angle: 12.5992868	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 1.87830428e-05 , 0
angle: 13.2886787	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 1.98107898e-05 , 0
angle: 13.3440504	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 1.9893338e-05 , 0
angle: 13.3994174	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 1.99758793e-05 , 0
angle: 13.4547798	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.00584136e-05 , 0
angle: 13.5101377	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.01409413e-05 , 0
angle: 13.5654913	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.02234625e-05 , 0
angle: 13.6208393	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.03059754e-05 , 0
angle: 13.6761827	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.03884815e-05 , 0
angle: 13.7315213	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.04709804e-05 , 0
angle: 13.7868547	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.05534715e-05 , 0
angle: 13.8421831	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.06359553e-05 , 0
angle: 13.897508	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.07184337e-05 , 0
angle: 13.9528273	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.08009038e-05 , 0
angle: 14.6421582	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.18285598e-05 , 0
angle: 14.6974682	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.19110161e-05 , 0
angle: 14.7527743	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.19934664e-05 , 0
angle: 14.8080749	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.20759087e-05 , 0
